G,Date,Start (ET),Home,Opponent,Win,Tm,Opp,W,L,Streak,Day,teamname,Rk,Teams,Note,Chg,Rcrd
1,2022-10-20,10:00p,0,Los Angeles Lakers,1,103,97,1,0,W 1,4,Lakers,22.0,Lakers,"Some brave souls were starting to wedge the Lakers into the NBA title conversation after a huge win in Milwaukee and a trouncing of the Wizards in which Anthony Davis went for 55 points and 17 rebounds. The team struggled, however, after Davis left early with an illness in Tuesday's loss to Cleveland, and then both he and LeBron missed Wednesday's back-to-back in Toronto. Davis is playing like an MVP candidate, and James averaged 26 points, 11 rebounds and seven assists in the three games he played this week. There's not much room for error, but the Lakers have looked solid over the past few weeks.",2,11-15
2,2022-10-22,10:00p,0,Sacramento Kings,1,111,109,2,0,W 2,6,Kings,7.0,Kings,"The Kings lit the beam after wins over the Clippers and Bulls this week before a loss in Milwaukee on Wednesday. Six players averaged double figures for Sacramento, led by Domantas Sabonis' 19.3 points, 11.3 rebounds and 7.7 assists per game. Rookie Keegan Murray has come on of late, averaging 16.3 points this week on 47 percent 3-point shooting.",2,14-11
3,2022-10-23,10:00p,1,Phoenix Suns,0,95,112,2,1,L 1,7,Suns,8.0,Suns,"It was a dim week for the normally bright Suns, who lost three of four games -- one to the Rockets and two non-competitive efforts against the Mavs and Celtics. On the plus side, Chris Paul returned on Wednesday against Boston, putting up four points, four assists and four rebounds in 24 minutes. Devin Booker scored fewer points this week, partly due to the blowouts, but still shot 41 percent from the 3-point line.",6,16-11
4,2022-10-25,8:00p,0,Oklahoma City Thunder,0,94,108,2,2,L 2,2,Thunder,23.0,Thunder,"The offensive juggernaut OKC Thunder put up 256 total points in wins over the Wolves and Hawks to start the week before running out of gas in a loss to the Grizzlies on Wednesday. Shai Gilgeous-Alexander continues to score at will, averaging 31 points this week despite shooting just 22 percent from 3-point range. His young backcourt mate Josh Giddey was also excellent, putting up 16 points, nine rebounds and five assists per game on 50 percent 3-point shooting.",3,11-15
5,2022-10-27,8:00p,0,Oklahoma City Thunder,0,110,118,2,3,L 3,4,Thunder,23.0,Thunder,"The offensive juggernaut OKC Thunder put up 256 total points in wins over the Wolves and Hawks to start the week before running out of gas in a loss to the Grizzlies on Wednesday. Shai Gilgeous-Alexander continues to score at will, averaging 31 points this week despite shooting just 22 percent from 3-point range. His young backcourt mate Josh Giddey was also excellent, putting up 16 points, nine rebounds and five assists per game on 50 percent 3-point shooting.",3,11-15
6,2022-10-30,3:00p,1,New Orleans Pelicans,0,91,112,2,4,L 4,7,Pelicans,2.0,Pelicans,"Even with Brandon Ingram out, the Pelican train keeps on rolling. They beat the Spurs, Nuggets and Pistons this week to run their winning streak to five games and claim sole possession of first place in the Western Conference. The defense has been excellent all season, and they took it to another level this week by allowing just 99.3 points per 100 possessions. Zion Williamson was a maniac, as usual, averaging 28 points, 10.3 rebounds and 5.7 assists per game on 62 percent shooting. Jose Alvarado erupted for 38 points in the win over Denver, the most points scored off the bench by an undrafted player since the NBA began tracking starters in the 1970-71 season.",2,18-8
7,2022-10-31,10:30p,1,Houston Rockets,1,95,93,3,4,W 1,1,Rockets,26.0,Rockets,"The same week that the Rockets beat the Suns and 76ers, they get blown off the court by the free-falling Spurs without two of their best players. Ah, the fickle saga of a young team. Jalen Green averaged 21 points for the week but was not efficient in the slightest, shooting 35 percent from the field with as many turnovers as assists. Rookie Jabari Smith Jr. had perhaps his best week as a pro, putting up 15.5 points and 6.5 rebounds per game on 55 percent shooting, including a career-high 23 points in Thursday's loss to San Antonio.",1,8-18
8,2022-11-02,8:00p,0,Houston Rockets,1,109,101,4,4,W 2,3,Rockets,26.0,Rockets,"The same week that the Rockets beat the Suns and 76ers, they get blown off the court by the free-falling Spurs without two of their best players. Ah, the fickle saga of a young team. Jalen Green averaged 21 points for the week but was not efficient in the slightest, shooting 35 percent from the field with as many turnovers as assists. Rookie Jabari Smith Jr. had perhaps his best week as a pro, putting up 15.5 points and 6.5 rebounds per game on 55 percent shooting, including a career-high 23 points in Thursday's loss to San Antonio.",1,8-18
9,2022-11-04,8:00p,0,San Antonio Spurs,1,113,106,5,4,W 3,5,Spurs,30.0,Spurs,"All bad things must come to an end, and the Spurs finally got in the win column, snapping their 11-game slide on Thursday against the Rockets -- even more impressive since it came without Devin Vassell and Jakob Poeltl. Keldon Johnson shot terribly from deep in the two losses, but made up for it with 32 points on 14-for-21 shooting against Houston. Tre Jones went for 26 points and five assists in the win.",0,8-18
10,2022-11-06,10:00p,1,Utah Jazz,0,102,110,5,5,L 1,7,Jazz,12.0,Jazz,"Utah's 2-1 week was punctuated by a miraculous win over the short-handed Warriors on Wednesday, in which the Jazz erased a four-point deficit in just over 13 seconds. Simone Fontecchio threw down the game-winning dunk, capping a week in which he averaged 10 points in just under 18 minutes per game. Collin Sexton has been playing well, putting up 18 points per game on 50 percent shooting this week, but he suffered a hamstring injury in the win over Golden State. The Jazz scored 139 points in their other victory this week over the Pacers.",3,15-14
11,2022-11-07,10:30p,1,Cleveland Cavaliers,1,119,117,6,5,W 1,1,Cavaliers,5.0,Cavaliers,"The Cavs went 2-1 this week on the strength of their defense, which allowed a stingy 99.7 points per 100 possessions. The other end wasn't as pretty, scoring just 81 points in a loss to the Knicks on Sunday. They got a boost from Jarrett Allen, though, who put up 24 points in his return from a back injury in Tuesday's win over the Lakers. Donovan Mitchell continued his excellent season, averaging 33.3 points this week on 43 percent 3-point shooting.",1,17-10
12,2022-11-09,10:00p,1,Los Angeles Lakers,1,114,101,7,5,W 2,3,Lakers,22.0,Lakers,"Some brave souls were starting to wedge the Lakers into the NBA title conversation after a huge win in Milwaukee and a trouncing of the Wizards in which Anthony Davis went for 55 points and 17 rebounds. The team struggled, however, after Davis left early with an illness in Tuesday's loss to Cleveland, and then both he and LeBron missed Wednesday's back-to-back in Toronto. Davis is playing like an MVP candidate, and James averaged 26 points, 11 rebounds and seven assists in the three games he played this week. There's not much room for error, but the Lakers have looked solid over the past few weeks.",2,11-15
13,2022-11-12,4:00p,1,Brooklyn Nets,0,95,110,7,6,L 1,6,Nets,10.0,Nets,"The Nets beat the Raptors and Hornets this week, while managing only 92 points in a loss to the dreaded Celtics. Kyrie Irving and Kevin Durant each averaged 26 points per game this week and both shot better than 50 percent from the field. After a substandard shooting start to the season, Joe Harris went 10-for-16 from 3-point range this week, one of the few Nets to consistently make shots. And no, your eyes did not deceive you -- that was TJ Warren on the court for Brooklyn in the past three games, seeing NBA action for the first time in almost two calendar years.",1,16-12
