G,Home,W,L,Day,Rk,Chg,Tm
1,0,1,0,4,22.0,2,103
2,0,2,0,6,7.0,2,111
3,1,2,1,7,8.0,6,95
4,0,2,2,2,23.0,3,94
5,0,2,3,4,23.0,3,110
6,1,2,4,7,2.0,2,91
7,1,3,4,1,26.0,1,95
8,0,4,4,3,26.0,1,109
9,0,5,4,5,30.0,0,113
10,1,5,5,7,12.0,3,102
11,1,6,5,1,5.0,1,119
12,1,7,5,3,22.0,2,114
13,1,7,6,6,10.0,1,95
14,0,8,6,1,26.0,1,122
15,0,8,7,2,6.0,13,101
16,1,9,7,4,27.0,1,96
17,1,10,7,6,30.0,0,119
18,1,11,7,1,12.0,3,121
19,0,11,8,3,13.0,1,107
20,1,11,9,5,9.0,4,104
21,1,12,9,7,16.0,6,114
23,0,13,10,3,12.0,3,112
24,1,13,11,6,7.0,2,96
25,0,14,11,1,28.0,1,119
26,0,14,12,3,29.0,0,111
27,0,14,13,4,21.0,3,110
28,0,15,13,6,25.0,4,114
